"ID","date","SID","comic_name","source","filemask","type","destination","path","filename"
85,"2013-11-15 14:03:17",6,"7 Little Words","Puzzles/7_Little_Words/","slw%symd%.tif","Daily Puzzles","/%dymM%/","7LittleWords/","slw%dymd%.tif"
1687,"2013-11-18 14:12:56",6,"7 Little Words","Puzzles/7_Little_Words_Sunday/","slws%symd%.tif","Daily Puzzles","/%dymM%/","7LittleWords/","slws%dymd%.tif"
2105,"0000-00-00 00:00:00",6,"9 Chickweed Lane","UFS_Sunday_Comics/9_Chickweed_Lane_Sunday/","cw%symd%comb_hs.tif","Sunday Color","/%dS%/","","cw%sW%comb_hs.tif"
2106,"0000-00-00 00:00:00",6,"9 Chickweed Lane","UFS_Sunday_Comics/9_Chickweed_Lane_Sunday/","cw%symd%comb_qs.tif","Sunday Color","/%dS%/","","cw%sW%comb_qs.tif"
2107,"0000-00-00 00:00:00",6,"9 Chickweed Lane","UFS_Sunday_Comics/9_Chickweed_Lane_Sunday/","cw%symd%comb_ts.tif","Sunday Color","/%dS%/","","cw%sW%comb_ts.tif"
2108,"0000-00-00 00:00:00",6,"9 Chickweed Lane","UFS_Sunday_Comics/9_Chickweed_Lane_Sunday/","cw%symd%hsc.tif","Sunday Color","/%dS%/","","cw%sW%hsc.tif"
2109,"0000-00-00 00:00:00",6,"9 Chickweed Lane","UFS_Sunday_Comics/9_Chickweed_Lane_Sunday/","cw%symd%hsl.tif","Sunday Color","/%dS%/","","cw%sW%hsl.tif"
2110,"0000-00-00 00:00:00",6,"9 Chickweed Lane","UFS_Sunday_Comics/9_Chickweed_Lane_Sunday/","cw%symd%qsc.tif","Sunday Color","/%dS%/","","cw%sW%qsc.tif"
2111,"0000-00-00 00:00:00",6,"9 Chickweed Lane","UFS_Sunday_Comics/9_Chickweed_Lane_Sunday/","cw%symd%qsl.tif","Sunday Color","/%dS%/","","cw%sW%qsl.tif"
2112,"0000-00-00 00:00:00",6,"9 Chickweed Lane","UFS_Sunday_Comics/9_Chickweed_Lane_Sunday/","cw%symd%tsc.tif","Sunday Color","/%dS%/","","cw%sW%tsc.tif"
2113,"0000-00-00 00:00:00",6,"9 Chickweed Lane","UFS_Sunday_Comics/9_Chickweed_Lane_Sunday/","cw%symd%tsl.tif","Sunday Color","/%dS%/","","cw%sW%tsl.tif"
1540,"2012-01-23 08:36:25",6,"9 Chickweed Lane Daily","UFS_Daily_Comics/9_Chickweed_Lane_Dailies/","cw%symd%.tif","Daily B&W","/%dmd%/","","chickweed.tif"
1501,"2012-01-23 08:37:34",6,"9 Chickweed Lane Daily","UFS_Daily_Comics/9_Chickweed_Lane_Dailies/","cw_gray%symd%.tif","Daily B&W","/%dmd%/","","chickweedg.tif"
1686,"2013-11-15 13:58:09",6,"Abby","Lifestyle_Columns/Abby/","da%symd%.txt","Editorial","/%dymM%/","abby/","abby.%dYmd%.txt"
265,"2010-11-01 16:07:12",6,"Abby Composed","Lifestyle_Columns/Abby_Composed/","ab%symd%.tif","Daily Puzzles","/%dmd%/","","abby.pdf"
1500,"2013-11-18 15:20:06",6,"Aces On Bridge","UFS_Columns/Aces_on_Bridge/","ace%symd%.txt","Editorial","/%dymM%/","aces/","aces.%dYmd%.txt"
1706,"2013-11-19 10:51:07",6,"Aces On Bridge","UFS_Columns/Aces_on_Bridge/","ace%symd%.tif","Daily Puzzles","/%dymM%/","Aces On Bridge/","Ace%dymd%.tif"
1836,"0000-00-00 00:00:00",6,"Adam","Sunday_Comics/Adam/","ad%symd%comb_hs.tif","Sunday Color","/%dS%/","","adm%sW%comb_hs.tif"
1837,"0000-00-00 00:00:00",6,"Adam","Sunday_Comics/Adam/","ad%symd%comb_qs.tif","Sunday Color","/%dS%/","","adm%sW%comb_qs.tif"
1838,"0000-00-00 00:00:00",6,"Adam","Sunday_Comics/Adam/","ad%symd%comb_ts.tif","Sunday Color","/%dS%/","","adm%sW%comb_ts.tif"
1839,"0000-00-00 00:00:00",6,"Adam","Sunday_Comics/Adam/","ad%symd%hsc.tif","Sunday Color","/%dS%/","","adm%sW%hsc.tif"
1840,"0000-00-00 00:00:00",6,"Adam","Sunday_Comics/Adam/","ad%symd%hsl.tif","Sunday Color","/%dS%/","","adm%sW%hsl.tif"
1841,"0000-00-00 00:00:00",6,"Adam","Sunday_Comics/Adam/","ad%symd%qsc.tif","Sunday Color","/%dS%/","","adm%sW%qsc.tif"
1842,"0000-00-00 00:00:00",6,"Adam","Sunday_Comics/Adam/","ad%symd%qsl.tif","Sunday Color","/%dS%/","","adm%sW%qsl.tif"
1843,"0000-00-00 00:00:00",6,"Adam","Sunday_Comics/Adam/","ad%symd%tsc.tif","Sunday Color","/%dS%/","","adm%sW%tsc.tif"
1844,"0000-00-00 00:00:00",6,"Adam","Sunday_Comics/Adam/","ad%symd%tsl.tif","Sunday Color","/%dS%/","","adm%sW%tsl.tif"
1434,"2011-09-15 12:51:45",6,"Adam Color","Reed_Brennan_color_dailies/","ad_c%symd%.tif","Daily Color","/%dmd%/","","adamc.tif"
1481,"2011-09-26 17:09:26",6,"Adam Daily","Comic_Strips/Adam/","ad%symd%.tif","Daily B&W","/%dmd%/","","adam.tif"
1707,"2013-11-18 15:23:16",6,"Alder Bridge","NEA_Full_Service/Columns/NEA_Bridge/","bri%symd%.txt","Editorial","/%dymM%/","alder/","alder.%dYmd%.txt"
2114,"0000-00-00 00:00:00",6,"Alley Oop","UFS_Sunday_Comics/Alley_Oop_Sunday/","ao%symd%comb_ft.tif","Sunday Color","/%dS%/","","ao%sW%comb_ft.tif"
